time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032517.56.21.73,	0,	0,	0,	0,	0,	0,	0
2020032517.56.26.73,	0,	0,	0,	0,	0,	0,	0
2020032517.56.31.73,	0,	0,	0,	0,	0,	0,	0
2020032517.56.36.73,	0,	0,	0,	0,	0,	0,	0
2020032517.56.41.73,	0,	0,	0,	0,	0,	0,	0
2020032517.56.46.73,	0,	0,	0,	0,	0,	0,	0
2020032517.56.51.73,	0,	0,	0,	0,	0,	0,	0
2020032517.56.56.73,	0,	0,	0,	0,	0,	0,	0
2020032517.57.01.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.06.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.11.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.16.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.21.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.26.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.31.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.36.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.41.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.46.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.51.73,	1,	1,	1,	1,	1,	1,	1
2020032517.57.56.73,	1,	1,	1,	1,	1,	1,	1
2020032517.58.01.74,	1,	1,	1,	1,	1,	1,	1
2020032517.58.06.74,	1,	1,	1,	1,	1,	1,	1
2020032517.58.11.74,	1,	1,	1,	1,	1,	1,	1
2020032517.58.16.74,	1,	1,	1,	1,	1,	1,	1
2020032517.58.21.74,	1,	1,	1,	1,	0,	1,	1
2020032517.58.26.74,	0,	0,	0,	1,	0,	0,	0
2020032517.58.31.74,	0,	0,	0,	1,	0,	0,	0
2020032517.58.36.74,	0,	0,	0,	1,	0,	0,	0
2020032517.58.41.74,	0,	0,	0,	1,	0,	0,	0
2020032517.58.46.74,	0,	0,	0,	1,	0,	0,	0
2020032517.58.51.74,	0,	0,	0,	1,	0,	0,	0
2020032517.58.56.74,	0,	0,	0,	1,	0,	0,	0
2020032517.59.01.74,	0,	0,	0,	1,	0,	0,	0
2020032517.59.06.74,	0,	0,	0,	1,	0,	0,	0
2020032517.59.11.74,	0,	0,	0,	0,	0,	0,	0
2020032517.59.16.74,	0,	0,	0,	0,	0,	0,	0
2020032517.59.21.75,	0,	0,	0,	0,	0,	0,	0
2020032517.59.26.74,	0,	0,	0,	0,	0,	0,	0
2020032517.59.31.75,	0,	0,	0,	0,	0,	0,	0
2020032517.59.36.75,	0,	0,	0,	0,	0,	0,	0
2020032517.59.41.75,	0,	0,	0,	0,	0,	0,	0
2020032517.59.46.75,	0,	0,	0,	0,	0,	0,	0
2020032517.59.51.75,	0,	0,	0,	0,	0,	0,	0
2020032517.59.56.75,	0,	0,	0,	0,	0,	0,	0
2020032518.00.01.75,	0,	0,	0,	0,	0,	0,	0
2020032518.00.06.75,	0,	0,	0,	0,	0,	0,	0
2020032518.00.11.75,	0,	0,	0,	0,	0,	0,	0
2020032518.00.16.75,	0,	0,	0,	0,	0,	0,	0
