time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020033011.00.01.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.06.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.11.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.16.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.21.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.26.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.31.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.36.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.41.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.46.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.51.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.00.56.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.01.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.06.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.11.04,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.16.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.21.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.26.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.31.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.36.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.41.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.46.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.51.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.01.56.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.01.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.06.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.11.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.16.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.21.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.26.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.31.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.36.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.41.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.46.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.51.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.02.56.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.01.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.06.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.11.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.16.05,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.21.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.26.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.31.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.36.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.41.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.46.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.51.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.03.56.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.01.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.06.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.11.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.16.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.21.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.26.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.31.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.36.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.41.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.46.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.51.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.04.56.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.05.01.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.05.06.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.05.11.06,"	1","	1","	1","	1","	1","	1","	1"
2020033011.05.16.06,"	1","	1","	1","	1","	1","	1","	1"
