time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020031614.10.02.90,	0,	0,	0,	0,	0,	0,	0
2020031614.10.03.90,	0,	0,	0,	0,	0,	0,	0
2020031614.10.04.90,	0,	0,	0,	0,	0,	0,	0
2020031614.10.05.90,	0,	0,	0,	0,	0,	0,	0
2020031614.10.06.90,	0,	0,	0,	0,	0,	0,	0
2020031614.10.07.91,	0,	0,	0,	0,	0,	0,	0
2020031614.10.08.91,	0,	0,	0,	0,	0,	0,	0
2020031614.10.09.91,	0,	0,	0,	0,	0,	0,	0
2020031614.10.10.92,	0,	0,	0,	0,	0,	0,	0
2020031614.10.11.91,	0,	0,	0,	0,	0,	0,	0
2020031614.10.12.91,	0,	0,	0,	0,	0,	0,	0
2020031614.10.13.92,	0,	0,	0,	0,	0,	0,	0
2020031614.10.14.92,	0,	0,	0,	0,	0,	0,	0
