time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020031710.50.16.07,"	0","	0","	0","	0","	0","	0","	0"
2020031710.50.17.10,"	0","	0","	0","	0","	0","	0","	0"
2020031710.50.18.10,"	0","	0","	0","	0","	0","	0","	0"
2020031710.50.19.10,"	0","	0","	0","	0","	0","	0","	0"
2020031710.50.20.10,"	0","	0","	0","	0","	0","	0","	0"
2020031710.50.21.10,"	0","	0","	0","	0","	0","	0","	0"
2020031710.50.22.10,"	0","	0","	0","	0","	0","	0","	0"
2020031710.50.23.10,"	0","	0","	0","	0","	0","	0","	0"
2020031710.50.24.10,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.25.10,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.26.10,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.27.10,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.28.10,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.29.10,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.30.11,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.31.11,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.32.12,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.33.13,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.34.13,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.35.13,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.36.13,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.37.13,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.38.13,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.39.13,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.40.14,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.41.14,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.42.14,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.43.14,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.44.14,"	1","	1","	1","	1","	1","	1","	1"
2020031710.50.45.14,"	1","	1","	1","	1","	1","	1","	1"
2020031710.53.39.94,	1,	1,	1,	1,	1,	1,	1
2020031710.53.46.19,	1,	1,	1,	1,	1,	1,	1
2020031710.53.47.23,	1,	1,	1,	1,	1,	1,	1
2020031710.53.48.23,	1,	1,	1,	1,	1,	1,	1
2020031710.53.49.23,	1,	1,	1,	1,	1,	1,	1
2020031710.53.50.23,	1,	1,	1,	1,	1,	1,	1
2020031710.53.51.23,	1,	1,	1,	1,	1,	1,	1
2020031710.53.52.23,	1,	1,	1,	1,	1,	1,	1
2020031710.53.53.23,	1,	1,	1,	1,	1,	1,	1
2020031710.53.54.23,	1,	1,	1,	1,	1,	1,	1
2020031710.53.55.24,	1,	1,	1,	1,	1,	1,	1
2020031710.53.56.24,	1,	1,	1,	1,	1,	1,	1
2020031710.53.57.24,	1,	1,	1,	1,	1,	1,	1
2020031710.53.58.24,	1,	1,	1,	1,	1,	1,	1
2020031710.53.59.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.00.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.01.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.02.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.03.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.04.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.05.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.06.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.07.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.08.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.09.24,	1,	1,	1,	1,	1,	1,	1
2020031710.54.10.25,	1,	1,	1,	1,	1,	1,	1
2020031710.54.11.25,	1,	1,	1,	1,	1,	1,	1
2020031710.54.12.25,	1,	1,	1,	1,	1,	1,	1
2020031710.54.13.25,	1,	1,	1,	1,	1,	1,	1
2020031710.54.14.25,	1,	1,	1,	1,	1,	1,	1
2020031710.54.15.26,	1,	1,	1,	1,	1,	1,	1
2020031710.54.16.26,	1,	1,	1,	1,	1,	1,	1
2020031710.54.17.32,	1,	1,	1,	1,	1,	1,	1
2020031710.54.18.34,	1,	1,	1,	1,	1,	1,	1
