time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020031613.13.22.15,	0,	0,	0,	0,	0,	0,	0
2020031613.13.23.16,	0,	0,	0,	0,	0,	0,	0
2020031613.13.24.16,	0,	0,	0,	0,	0,	0,	0
2020031613.13.25.16,	0,	0,	0,	0,	0,	0,	0
2020031613.13.26.19,	0,	0,	0,	0,	0,	0,	0
2020031613.13.27.37,	0,	0,	0,	0,	0,	0,	0
2020031613.13.28.37,	0,	0,	0,	0,	0,	0,	0
2020031613.13.29.38,	0,	0,	0,	0,	0,	0,	0
2020031613.13.30.48,	0,	0,	0,	0,	0,	0,	0
2020031613.13.31.49,	0,	0,	0,	0,	0,	0,	0
2020031613.13.32.49,	0,	0,	0,	0,	0,	0,	0
2020031613.13.33.49,	0,	0,	0,	0,	0,	0,	0
2020031613.13.34.49,	0,	0,	0,	0,	0,	0,	0
